Source File Name:	1,1,3
Signal:	FFT - Ref1 Voltage - Magnitude

Frequency	Magnitude
[ Hz ]	[ V ]
181.5	6.543524e-6
182	5.859312e-6
182.5	7.693671e-6
183	6.51062e-6
183.5	5.454305e-6
184	6.031308e-6
184.5	4.62133e-6
185	5.268433e-6
185.5	4.522672e-6
186	4.830399e-6
186.5	4.708639e-6
187	6.297854e-6
187.5	5.614443e-6
188	4.179564e-6
188.5	5.575636e-6
189	4.814942e-6
189.5	4.212751e-6
190	5.343016e-6
190.5	6.040349e-6
191	4.829164e-6
191.5	6.466423e-6
192	7.067271e-6
192.5	5.409298e-6
193	6.775135e-6
193.5	5.564164e-6
194	7.135963e-6
194.5	6.995072e-6
195	7.063606e-6
195.5	6.944301e-6
196	7.346049e-6
196.5	4.689243e-6
197	6.343137e-6
197.5	4.910192e-6
198	5.728419e-6
198.5	4.964992e-6
199	5.314482e-6
199.5	4.356511e-6
200	1.048657e-5
200.5	5.399758e-6
201	5.458073e-6
201.5	4.78198e-6
202	5.039124e-6
202.5	5.461453e-6
203	5.700803e-6
203.5	6.297777e-6
204	6.312716e-6
204.5	5.790752e-6
205	6.350715e-6
205.5	7.12922e-6
206	5.623739e-6
206.5	6.380472e-6
207	7.027298e-6
207.5	5.163672e-6
208	5.142015e-6
208.5	6.405998e-6
209	6.313623e-6
209.5	4.841766e-6
210	5.061239e-6
210.5	4.565944e-6
211	3.517477e-6
211.5	5.202257e-6
212	5.459271e-6
212.5	5.312893e-6
213	4.679553e-6
213.5	5.024255e-6
214	4.468211e-6
214.5	4.154477e-6
215	5.017181e-6
215.5	4.118933e-6
216	3.412669e-6
216.5	5.878081e-6
217	5.590398e-6
217.5	6.982512e-6
218	6.592666e-6
218.5	6.731248e-6
219	6.77046e-6
219.5	6.754693e-6
220	6.830846e-6
220.5	6.847776e-6
221	6.152985e-6
221.5	5.886697e-6
222	5.772345e-6
222.5	5.985498e-6
223	3.324612e-6
223.5	5.345726e-6
224	3.853846e-6
224.5	4.252534e-6
225	4.59771e-6
225.5	4.554019e-6
226	4.046582e-6
226.5	4.560106e-6
227	3.970657e-6
227.5	6.244275e-6
228	4.096214e-6
228.5	4.860517e-6
229	5.325572e-6
229.5	4.867545e-6
230	4.542957e-6
230.5	5.114494e-6
231	6.022131e-6
231.5	7.098714e-6
232	6.591269e-6
232.5	7.082031e-6
233	6.972065e-6
233.5	5.197803e-6
234	5.889932e-6
234.5	5.494274e-6
235	5.250867e-6
235.5	5.002829e-6
236	4.346793e-6
236.5	5.089013e-6
237	4.219497e-6
237.5	4.974448e-6
238	3.184711e-6
238.5	3.72547e-6
239	4.467339e-6
239.5	4.176833e-6
240	4.051127e-6
240.5	3.972449e-6
241	4.660376e-6
241.5	5.193177e-6
242	4.254979e-6
242.5	3.646972e-6
243	4.378708e-6
243.5	5.725303e-6
244	4.735564e-6
244.5	6.759427e-6
245	4.220568e-6
245.5	5.775286e-6
246	5.57015e-6
246.5	4.892645e-6
247	4.605882e-6
247.5	3.845138e-6
248	3.946865e-6
248.5	3.459297e-6
249	3.832153e-6
249.5	7.203215e-6
250	4.929581e-5
250.5	6.30882e-7
251	3.454687e-6
251.5	4.952775e-6
252	6.011197e-6
252.5	5.420084e-6
253	5.763091e-6
253.5	5.526106e-6
254	5.67251e-6
254.5	6.797067e-6
255	4.493972e-6
255.5	2.909079e-6
256	5.855072e-6
256.5	5.708706e-6
257	6.361309e-6
257.5	5.882902e-6
258	5.497257e-6
258.5	4.173485e-6
259	4.604914e-6
259.5	4.783507e-6
260	5.032228e-6
260.5	4.810719e-6
261	4.078194e-6
261.5	4.327489e-6
262	4.600372e-6
262.5	5.390883e-6
263	4.878027e-6
263.5	3.702545e-6
264	4.492303e-6
264.5	4.467915e-6
265	4.000597e-6
265.5	4.726746e-6
266	5.60413e-6
266.5	4.161873e-6
267	5.653062e-6
267.5	5.547221e-6
268	5.833002e-6
268.5	7.137984e-6
269	4.682105e-6
269.5	5.085568e-6
270	4.455017e-6
270.5	4.60384e-6
271	3.673587e-6
271.5	5.117426e-6
272	6.434429e-6
272.5	4.317761e-6
273	4.440312e-6
273.5	4.133916e-6
274	4.347027e-6
274.5	4.574074e-6
275	4.80418e-6
275.5	4.08629e-6
276	3.454494e-6
276.5	3.587534e-6
277	3.175948e-6
277.5	2.767226e-6
